,Unnamed: 0,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close,Typical_price,cum_avg,cum_vol,VWAP
93,93,EUR_USD,M1,False,12,2022-01-11T04:55:00.000000000Z,1.13397,1.13405,1.13397,1.13405,1.1340233333333334,859.5323733333335,758,1.1339477220756378
94,94,EUR_USD,M1,False,13,2022-01-11T04:55:00.000000000Z,1.13397,1.13405,1.13397,1.13404,1.1340199999999998,874.2746333333334,771,1.1339489407695635
95,95,EUR_USD,M1,False,14,2022-01-11T04:55:00.000000000Z,1.13397,1.13405,1.13397,1.13402,1.1340133333333333,890.1508200000001,785,1.1339500891719747
96,96,EUR_USD,M1,False,15,2022-01-11T04:55:00.000000000Z,1.13397,1.13405,1.13397,1.13403,1.1340166666666667,907.1610700000001,800,1.1339513375
97,97,EUR_USD,M1,False,16,2022-01-11T04:55:00.000000000Z,1.13397,1.13405,1.13397,1.13402,1.1340133333333333,925.3052833333335,816,1.1339525531045753
98,98,EUR_USD,M1,False,17,2022-01-11T04:55:00.000000000Z,1.13397,1.13405,1.13397,1.134,1.1340066666666666,944.5833966666668,833,1.1339536574629854
99,99,EUR_USD,M1,False,18,2022-01-11T04:55:00.000000000Z,1.13397,1.13405,1.13397,1.13401,1.13401,964.9955766666668,851,1.1339548491970233
100,100,EUR_USD,M1,False,20,2022-01-11T04:55:00.000000000Z,1.13397,1.13405,1.13397,1.13401,1.13401,987.6757766666668,871,1.1339561155759665
101,101,EUR_USD,M1,False,21,2022-01-11T04:55:00.000000000Z,1.13397,1.13405,1.13397,1.13402,1.1340133333333333,1011.4900566666669,892,1.1339574626307924
102,102,EUR_USD,M1,False,22,2022-01-11T04:55:00.000000000Z,1.13397,1.13405,1.13397,1.13401,1.13401,1036.438276666667,914,1.133958727206419
103,103,EUR_USD,M1,True,22,2022-01-11T04:55:00.000000000Z,1.13397,1.13405,1.13397,1.13401,1.13401,1061.386496666667,936,1.1339599323361826
104,104,EUR_USD,M1,False,1,2022-01-11T04:56:00.000000000Z,1.13402,1.13402,1.13402,1.13402,1.13402,1062.520516666667,937,1.1339599964425475
105,105,EUR_USD,M1,False,1,2022-01-11T04:57:00.000000000Z,1.13401,1.13401,1.13401,1.13401,1.13401,1063.654526666667,938,1.133960049751244
106,106,EUR_USD,M1,False,2,2022-01-11T04:57:00.000000000Z,1.13401,1.13402,1.13401,1.13402,1.1340166666666667,1065.9225600000002,940,1.1339601702127662
107,107,EUR_USD,M1,False,3,2022-01-11T04:57:00.000000000Z,1.13401,1.13402,1.134,1.134,1.1340066666666666,1069.3245800000002,943,1.1339603181336164
108,108,EUR_USD,M1,False,4,2022-01-11T04:57:00.000000000Z,1.13401,1.13402,1.134,1.13402,1.1340133333333333,1073.8606333333335,947,1.1339605420626542
109,109,EUR_USD,M1,False,5,2022-01-11T04:57:00.000000000Z,1.13401,1.13402,1.134,1.13401,1.13401,1079.5306833333334,952,1.1339608018207283
110,110,EUR_USD,M1,False,8,2022-01-11T04:57:00.000000000Z,1.13401,1.13402,1.13397,1.13397,1.1339866666666667,1088.6025766666667,960,1.1339610173611112
111,111,EUR_USD,M1,False,9,2022-01-11T04:57:00.000000000Z,1.13401,1.13402,1.13397,1.13399,1.1339933333333334,1098.8085166666667,969,1.13396131750946
112,112,EUR_USD,M1,False,10,2022-01-11T04:57:00.000000000Z,1.13401,1.13402,1.13397,1.13398,1.13399,1110.1484166666667,979,1.1339616104868915
113,113,EUR_USD,M1,False,12,2022-01-11T04:57:00.000000000Z,1.13401,1.13402,1.13397,1.134,1.1339966666666668,1123.7563766666667,991,1.1339620349815003
114,114,EUR_USD,M1,False,3,2022-01-11T04:58:00.000000000Z,1.13402,1.13406,1.13402,1.13406,1.1340466666666666,1127.1585166666666,994,1.1339622904091213
115,115,EUR_USD,M1,False,4,2022-01-11T04:58:00.000000000Z,1.13402,1.13406,1.13402,1.13404,1.13404,1131.6946766666667,998,1.1339626018704076
116,116,EUR_USD,M1,False,8,2022-01-11T04:58:00.000000000Z,1.13402,1.13406,1.13402,1.13402,1.1340333333333334,1140.7669433333333,1006,1.1339631643472499
117,117,EUR_USD,M1,False,10,2022-01-11T04:58:00.000000000Z,1.13402,1.13406,1.13402,1.13406,1.1340466666666666,1152.10741,1016,1.1339639862204725
118,118,EUR_USD,M1,False,11,2022-01-11T04:58:00.000000000Z,1.13402,1.13407,1.13402,1.13407,1.1340533333333334,1164.5819966666668,1027,1.1339649432002599
119,119,EUR_USD,M1,False,12,2022-01-11T04:58:00.000000000Z,1.13402,1.13407,1.13402,1.13406,1.13405,1178.1905966666668,1039,1.1339659255694579
120,120,EUR_USD,M1,False,13,2022-01-11T04:58:00.000000000Z,1.13402,1.13407,1.13402,1.13404,1.1340433333333333,1192.93316,1052,1.1339668821292777
121,121,EUR_USD,M1,False,14,2022-01-11T04:58:00.000000000Z,1.13402,1.13407,1.13402,1.13406,1.13405,1208.80986,1066,1.1339679737335835
122,122,EUR_USD,M1,False,15,2022-01-11T04:58:00.000000000Z,1.13402,1.13408,1.13402,1.13408,1.13406,1225.82076,1081,1.1339692506938022
123,123,EUR_USD,M1,False,17,2022-01-11T04:58:00.000000000Z,1.13402,1.1341,1.13402,1.1341,1.1340733333333335,1245.1000066666668,1098,1.133970862173649
124,124,EUR_USD,M1,True,17,2022-01-11T04:58:00.000000000Z,1.13402,1.1341,1.13402,1.1341,1.1340733333333335,1264.3792533333335,1115,1.1339724245142004
125,125,EUR_USD,M1,False,1,2022-01-11T04:59:00.000000000Z,1.13408,1.13408,1.13408,1.13408,1.13408,1265.5133333333335,1116,1.133972520908005
