,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
17724,EUR_USD,S5,True,3,2022-01-07T08:51:45.000000000Z,1.13124,1.13124,1.13122,1.13124
17741,EUR_USD,S5,True,6,2022-01-07T08:51:50.000000000Z,1.13122,1.13122,1.1312,1.1312
17757,EUR_USD,S5,True,8,2022-01-07T08:51:55.000000000Z,1.13122,1.13128,1.13122,1.13128
17785,EUR_USD,S5,True,10,2022-01-07T08:52:05.000000000Z,1.13132,1.13135,1.13132,1.13133
17813,EUR_USD,S5,True,2,2022-01-07T08:52:10.000000000Z,1.13134,1.13134,1.13133,1.13133
17845,EUR_USD,S5,True,2,2022-01-07T08:52:20.000000000Z,1.13134,1.13136,1.13134,1.13136
17879,EUR_USD,S5,True,13,2022-01-07T08:52:30.000000000Z,1.13134,1.13134,1.13129,1.1313
17947,EUR_USD,S5,True,1,2022-01-07T08:52:55.000000000Z,1.1313,1.1313,1.1313,1.1313
18028,EUR_USD,S5,True,5,2022-01-07T08:53:20.000000000Z,1.1313,1.1313,1.1313,1.1313
18078,EUR_USD,S5,True,1,2022-01-07T08:53:35.000000000Z,1.13123,1.13123,1.13123,1.13123
18096,EUR_USD,S5,True,6,2022-01-07T08:53:40.000000000Z,1.13122,1.13124,1.13122,1.13124
18115,EUR_USD,S5,True,1,2022-01-07T08:53:45.000000000Z,1.13125,1.13125,1.13125,1.13125
18297,EUR_USD,S5,True,1,2022-01-07T08:54:40.000000000Z,1.1311,1.1311,1.1311,1.1311
18347,EUR_USD,S5,True,3,2022-01-07T08:54:50.000000000Z,1.13111,1.13114,1.13111,1.13114
18381,EUR_USD,S5,True,8,2022-01-07T08:55:05.000000000Z,1.13116,1.1312,1.13116,1.13118
18432,EUR_USD,S5,True,5,2022-01-07T08:55:20.000000000Z,1.13118,1.13119,1.13117,1.13118
18501,EUR_USD,S5,True,6,2022-01-07T08:55:35.000000000Z,1.13122,1.13129,1.13122,1.13129
18554,EUR_USD,S5,True,5,2022-01-07T08:55:55.000000000Z,1.1312,1.13124,1.1312,1.13121
