,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close,ATR
3248,EUR_USD,M5,True,165,2022-01-26T11:40:00.000000000Z,1.12794,1.12813,1.12793,1.1281,0.000271430243891
3249,EUR_USD,M5,True,183,2022-01-26T11:45:00.000000000Z,1.12811,1.12816,1.12794,1.12794,0.000270915941452
3250,EUR_USD,M5,True,411,2022-01-26T11:50:00.000000000Z,1.12792,1.12792,1.12756,1.12787,0.000272006782038
3251,EUR_USD,M5,True,286,2022-01-26T11:55:00.000000000Z,1.12788,1.12791,1.12754,1.12788,0.000272986714217
3252,EUR_USD,M5,True,280,2022-01-26T12:00:00.000000000Z,1.12789,1.12798,1.12765,1.12786,0.000273556847075
3253,EUR_USD,M5,True,176,2022-01-26T12:05:00.000000000Z,1.12785,1.12796,1.12776,1.1278,0.000272821278604
3254,EUR_USD,M5,True,264,2022-01-26T12:10:00.000000000Z,1.12779,1.12792,1.12752,1.12784,0.000274093065818
3255,EUR_USD,M5,True,218,2022-01-26T12:15:00.000000000Z,1.12782,1.12784,1.12768,1.1277,0.00027295213516
3256,EUR_USD,M5,True,205,2022-01-26T12:20:00.000000000Z,1.12768,1.12788,1.1276,1.12777,0.000273022613809
3257,EUR_USD,M5,True,226,2022-01-26T12:25:00.000000000Z,1.12774,1.12796,1.12768,1.1279,0.000273092387671
3258,EUR_USD,M5,True,147,2022-01-26T12:30:00.000000000Z,1.12788,1.12799,1.12783,1.12796,0.000271961463794
3259,EUR_USD,M5,True,227,2022-01-26T12:35:00.000000000Z,1.12794,1.12794,1.12764,1.1278,0.000272441849156
3260,EUR_USD,M5,True,240,2022-01-26T12:40:00.000000000Z,1.1278,1.12826,1.1278,1.12822,0.000274317430664
3261,EUR_USD,M5,True,350,2022-01-26T12:45:00.000000000Z,1.12823,1.1286,1.12814,1.1286,0.000276174256358
3262,EUR_USD,M5,True,171,2022-01-26T12:50:00.000000000Z,1.1286,1.1286,1.12828,1.12836,0.000276612513794
3263,EUR_USD,M5,True,385,2022-01-26T12:55:00.000000000Z,1.12837,1.12837,1.12762,1.12764,0.000281346388656
3264,EUR_USD,M5,True,415,2022-01-26T13:00:00.000000000Z,1.12766,1.12804,1.12764,1.12792,0.00028253292477
3265,EUR_USD,M5,True,373,2022-01-26T13:05:00.000000000Z,1.12792,1.12797,1.12772,1.12777,0.000282207595522
3266,EUR_USD,M5,True,325,2022-01-26T13:10:00.000000000Z,1.12778,1.12798,1.12766,1.12766,0.000282585519567
3267,EUR_USD,M5,True,296,2022-01-26T13:15:00.000000000Z,1.12768,1.12792,1.1276,1.12772,0.000282959664371
3268,EUR_USD,M5,True,363,2022-01-26T13:20:00.000000000Z,1.12774,1.12799,1.12756,1.12774,0.000284430067727
3269,EUR_USD,M5,True,333,2022-01-26T13:25:00.000000000Z,1.12775,1.12784,1.1275,1.12751,0.00028498576705
3270,EUR_USD,M5,True,337,2022-01-26T13:30:00.000000000Z,1.12752,1.12759,1.12716,1.12754,0.00028643590938
3271,EUR_USD,M5,True,266,2022-01-26T13:35:00.000000000Z,1.12753,1.12786,1.12753,1.1277,0.000286871550286
3272,EUR_USD,M5,True,240,2022-01-26T13:40:00.000000000Z,1.12768,1.12786,1.1276,1.12783,0.000286602834783
3273,EUR_USD,M5,True,312,2022-01-26T13:45:00.000000000Z,1.12784,1.12802,1.12772,1.12792,0.000286736806435
3274,EUR_USD,M5,True,363,2022-01-26T13:50:00.000000000Z,1.12792,1.12822,1.1278,1.12816,0.000288069438371
3275,EUR_USD,M5,True,636,2022-01-26T13:55:00.000000000Z,1.12814,1.12833,1.12785,1.12824,0.000289988743987
3276,EUR_USD,M5,True,452,2022-01-26T14:00:00.000000000Z,1.12826,1.12842,1.12818,1.12842,0.000289488856547
3277,EUR_USD,M5,True,297,2022-01-26T14:05:00.000000000Z,1.12841,1.12882,1.12833,1.12882,0.000291493967982
3278,EUR_USD,M5,True,310,2022-01-26T14:10:00.000000000Z,1.1288,1.12904,1.12876,1.129,0.000291379028302
3279,EUR_USD,M5,True,400,2022-01-26T14:15:00.000000000Z,1.12898,1.12899,1.12855,1.12863,0.000292965238019
3280,EUR_USD,M5,True,441,2022-01-26T14:20:00.000000000Z,1.12862,1.12896,1.12859,1.12876,0.000293735585639
3281,EUR_USD,M5,True,657,2022-01-26T14:25:00.000000000Z,1.12878,1.12962,1.12876,1.12956,0.000299398229782
3282,EUR_USD,M5,True,565,2022-01-26T14:30:00.000000000Z,1.12955,1.12961,1.12906,1.12914,0.000301904247484
3283,EUR_USD,M5,True,580,2022-01-26T14:35:00.000000000Z,1.12912,1.12964,1.12897,1.12963,0.00030558520501
3284,EUR_USD,M5,True,583,2022-01-26T14:40:00.000000000Z,1.12961,1.12965,1.12894,1.12904,0.000309629352959
3285,EUR_USD,M5,True,575,2022-01-26T14:45:00.000000000Z,1.12903,1.1291,1.12848,1.12878,0.00031273305943
3286,EUR_USD,M5,True,483,2022-01-26T14:50:00.000000000Z,1.1288,1.12908,1.1286,1.12862,0.000314405728836
3287,EUR_USD,M5,True,292,2022-01-26T14:55:00.000000000Z,1.1286,1.12868,1.12832,1.12838,0.000314861671547
3288,EUR_USD,M5,True,1091,2022-01-26T15:00:00.000000000Z,1.1284,1.12872,1.12813,1.12839,0.000317613054832
3289,EUR_USD,M5,True,554,2022-01-26T15:05:00.000000000Z,1.12841,1.12874,1.1283,1.12866,0.000318836924283
3290,EUR_USD,M5,True,478,2022-01-26T15:10:00.000000000Z,1.12868,1.12877,1.1285,1.12864,0.000318348555041
3291,EUR_USD,M5,True,521,2022-01-26T15:15:00.000000000Z,1.12866,1.12866,1.12811,1.12811,0.00032066506949
3292,EUR_USD,M5,True,490,2022-01-26T15:20:00.000000000Z,1.12812,1.12825,1.12776,1.1279,0.000322358418795
3293,EUR_USD,M5,True,629,2022-01-26T15:25:00.000000000Z,1.12788,1.12827,1.12776,1.12826,0.000324234834607
3294,EUR_USD,M5,True,471,2022-01-26T15:30:00.000000000Z,1.12827,1.12848,1.12798,1.12806,0.000325992486261
3295,EUR_USD,M5,True,335,2022-01-26T15:35:00.000000000Z,1.12808,1.12818,1.12752,1.1276,0.000329332561399
3296,EUR_USD,M5,True,453,2022-01-26T15:40:00.000000000Z,1.12761,1.1278,1.1274,1.12778,0.000330039235785
3297,EUR_USD,M5,True,476,2022-01-26T15:45:00.000000000Z,1.12778,1.1283,1.12771,1.12796,0.000332638843427
3298,EUR_USD,M5,True,497,2022-01-26T15:50:00.000000000Z,1.12798,1.12823,1.12783,1.12806,0.000333312454993
3299,EUR_USD,M5,True,432,2022-01-26T15:55:00.000000000Z,1.12805,1.1283,1.1279,1.12807,0.000333979330443
3300,EUR_USD,M5,True,432,2022-01-26T16:00:00.000000000Z,1.12806,1.12837,1.12806,1.12825,0.000333739537138
3301,EUR_USD,M5,True,342,2022-01-26T16:05:00.000000000Z,1.12824,1.12839,1.1281,1.1283,0.000333302141767
3302,EUR_USD,M5,True,479,2022-01-26T16:10:00.000000000Z,1.1283,1.12874,1.12822,1.12852,0.000335169120349
3303,EUR_USD,M5,True,405,2022-01-26T16:15:00.000000000Z,1.1285,1.1285,1.12812,1.12815,0.000335817429146
3304,EUR_USD,M5,True,156,2022-01-26T16:20:00.000000000Z,1.12814,1.1283,1.12806,1.12829,0.000334859254854
3305,EUR_USD,M5,True,195,2022-01-26T16:25:00.000000000Z,1.1283,1.12834,1.1281,1.12819,0.000333910662306
3306,EUR_USD,M5,True,315,2022-01-26T16:30:00.000000000Z,1.12818,1.12824,1.12787,1.12819,0.000334271555683
3307,EUR_USD,M5,True,340,2022-01-26T16:35:00.000000000Z,1.12818,1.12834,1.12786,1.12796,0.000335728840126
3308,EUR_USD,M5,True,230,2022-01-26T16:40:00.000000000Z,1.12795,1.12806,1.12782,1.12793,0.000334771551725
3309,EUR_USD,M5,True,247,2022-01-26T16:45:00.000000000Z,1.12794,1.12826,1.12794,1.12825,0.000334723836207
3310,EUR_USD,M5,True,229,2022-01-26T16:50:00.000000000Z,1.12824,1.12833,1.12801,1.12804,0.000334576597845
3311,EUR_USD,M5,True,197,2022-01-26T16:55:00.000000000Z,1.12802,1.12808,1.12788,1.1279,0.000333230831867
3312,EUR_USD,M5,True,274,2022-01-26T17:00:00.000000000Z,1.12788,1.12814,1.12784,1.12814,0.000332898523548
3313,EUR_USD,M5,True,177,2022-01-26T17:05:00.000000000Z,1.12812,1.12836,1.1281,1.12827,0.000332169538313
3314,EUR_USD,M5,True,238,2022-01-26T17:10:00.000000000Z,1.12826,1.12833,1.128,1.12826,0.000332147842929
3315,EUR_USD,M5,True,232,2022-01-26T17:15:00.000000000Z,1.12828,1.12835,1.12812,1.12819,0.0003311263645
3316,EUR_USD,M5,True,249,2022-01-26T17:20:00.000000000Z,1.12818,1.12861,1.12816,1.12859,0.000332315100855
3317,EUR_USD,M5,True,217,2022-01-26T17:25:00.000000000Z,1.1286,1.12884,1.12858,1.12878,0.000331591949847
3318,EUR_USD,M5,True,82,2022-01-26T17:30:00.000000000Z,1.12876,1.12877,1.12856,1.12868,0.000330476030348
3319,EUR_USD,M5,True,157,2022-01-26T17:35:00.000000000Z,1.12866,1.12866,1.12838,1.12839,0.000330171270045
3320,EUR_USD,M5,True,54,2022-01-26T17:40:00.000000000Z,1.1284,1.12864,1.12839,1.12856,0.000329369557344
3321,EUR_USD,M5,True,160,2022-01-26T17:45:00.000000000Z,1.12855,1.12874,1.12851,1.12872,0.000328375861771
3322,EUR_USD,M5,True,63,2022-01-26T17:50:00.000000000Z,1.1287,1.1287,1.12856,1.12868,0.000326692103153
3323,EUR_USD,M5,True,111,2022-01-26T17:55:00.000000000Z,1.1287,1.12881,1.12867,1.1288,0.000324825182122
3324,EUR_USD,M5,True,169,2022-01-26T18:00:00.000000000Z,1.12881,1.1292,1.12881,1.129,0.0003255769303
3325,EUR_USD,M5,True,60,2022-01-26T18:05:00.000000000Z,1.12898,1.12915,1.12896,1.12914,0.000324221160997
3326,EUR_USD,M5,True,77,2022-01-26T18:10:00.000000000Z,1.12916,1.12931,1.12916,1.1292,0.000322678949387
3327,EUR_USD,M5,True,91,2022-01-26T18:15:00.000000000Z,1.12919,1.12935,1.12916,1.12926,0.000321352159893
3328,EUR_USD,M5,True,105,2022-01-26T18:20:00.000000000Z,1.12928,1.12942,1.12922,1.12925,0.000320138638295
3329,EUR_USD,M5,True,43,2022-01-26T18:25:00.000000000Z,1.12924,1.12927,1.12919,1.1292,0.000317737251912
3330,EUR_USD,M5,True,105,2022-01-26T18:30:00.000000000Z,1.12919,1.1294,1.12915,1.12938,0.000317059879392
3331,EUR_USD,M5,True,103,2022-01-26T18:35:00.000000000Z,1.1294,1.12945,1.1292,1.12924,0.000316389280599
3332,EUR_USD,M5,True,114,2022-01-26T18:40:00.000000000Z,1.12924,1.12946,1.12924,1.12933,0.000315425387793
3333,EUR_USD,M5,True,234,2022-01-26T18:45:00.000000000Z,1.12934,1.12939,1.12901,1.12904,0.000316071133915
