,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
3426,EUR_USD,S5,False,1,2022-01-06T08:19:20.000000000Z,1.12964,1.12964,1.12964,1.12964
3429,EUR_USD,S5,False,2,2022-01-06T08:19:20.000000000Z,1.12964,1.12964,1.12963,1.12963
3442,EUR_USD,S5,False,1,2022-01-06T08:19:25.000000000Z,1.12964,1.12964,1.12964,1.12964
3444,EUR_USD,S5,False,2,2022-01-06T08:19:25.000000000Z,1.12964,1.12964,1.12963,1.12963
3445,EUR_USD,S5,False,5,2022-01-06T08:19:25.000000000Z,1.12964,1.12964,1.1296,1.12962
3450,EUR_USD,S5,False,6,2022-01-06T08:19:25.000000000Z,1.12964,1.12964,1.1296,1.12963
3470,EUR_USD,S5,True,6,2022-01-06T08:19:25.000000000Z,1.12964,1.12964,1.1296,1.12963
3486,EUR_USD,S5,False,2,2022-01-06T08:19:40.000000000Z,1.12964,1.12964,1.12962,1.12962
3488,EUR_USD,S5,False,3,2022-01-06T08:19:40.000000000Z,1.12964,1.12964,1.12962,1.12964
3497,EUR_USD,S5,False,10,2022-01-06T08:19:40.000000000Z,1.12964,1.12964,1.1296,1.12962
3498,EUR_USD,S5,False,16,2022-01-06T08:19:40.000000000Z,1.12964,1.12964,1.1296,1.1296
3499,EUR_USD,S5,False,17,2022-01-06T08:19:40.000000000Z,1.12964,1.12964,1.12958,1.12958
3514,EUR_USD,S5,True,17,2022-01-06T08:19:40.000000000Z,1.12964,1.12964,1.12958,1.12958
3517,EUR_USD,S5,False,3,2022-01-06T08:19:50.000000000Z,1.12956,1.12959,1.12956,1.12959
3530,EUR_USD,S5,True,3,2022-01-06T08:19:50.000000000Z,1.12956,1.12959,1.12956,1.12959
3532,EUR_USD,S5,False,1,2022-01-06T08:19:55.000000000Z,1.1296,1.1296,1.1296,1.1296
3534,EUR_USD,S5,False,2,2022-01-06T08:19:55.000000000Z,1.1296,1.1296,1.12959,1.12959
3545,EUR_USD,S5,True,2,2022-01-06T08:19:55.000000000Z,1.1296,1.1296,1.12959,1.12959
3548,EUR_USD,S5,False,5,2022-01-06T08:20:00.000000000Z,1.12958,1.12958,1.12955,1.12958
3561,EUR_USD,S5,True,5,2022-01-06T08:20:00.000000000Z,1.12958,1.12958,1.12955,1.12958
3564,EUR_USD,S5,False,2,2022-01-06T08:20:05.000000000Z,1.12956,1.12958,1.12956,1.12958
3578,EUR_USD,S5,True,3,2022-01-06T08:20:05.000000000Z,1.12956,1.12959,1.12956,1.12959
3579,EUR_USD,S5,False,16,2022-01-06T08:20:10.000000000Z,1.12958,1.12958,1.12953,1.12954
3582,EUR_USD,S5,False,17,2022-01-06T08:20:10.000000000Z,1.12958,1.12958,1.12953,1.12953
3598,EUR_USD,S5,False,1,2022-01-06T08:20:15.000000000Z,1.12952,1.12952,1.12952,1.12952
3606,EUR_USD,S5,False,5,2022-01-06T08:20:15.000000000Z,1.12952,1.12952,1.12949,1.1295
3607,EUR_USD,S5,False,6,2022-01-06T08:20:15.000000000Z,1.12952,1.12952,1.12949,1.1295
3608,EUR_USD,S5,False,8,2022-01-06T08:20:15.000000000Z,1.12952,1.12952,1.12949,1.1295
3612,EUR_USD,S5,True,8,2022-01-06T08:20:15.000000000Z,1.12952,1.12952,1.12949,1.1295
3613,EUR_USD,S5,False,1,2022-01-06T08:20:20.000000000Z,1.12948,1.12948,1.12948,1.12948
3626,EUR_USD,S5,True,1,2022-01-06T08:20:20.000000000Z,1.12948,1.12948,1.12948,1.12948
3628,EUR_USD,S5,False,2,2022-01-06T08:20:25.000000000Z,1.12947,1.12948,1.12947,1.12948
3636,EUR_USD,S5,False,3,2022-01-06T08:20:25.000000000Z,1.12947,1.12948,1.12946,1.12946
3641,EUR_USD,S5,False,4,2022-01-06T08:20:25.000000000Z,1.12947,1.12948,1.12946,1.12948
3647,EUR_USD,S5,False,2,2022-01-06T08:20:30.000000000Z,1.12946,1.12947,1.12946,1.12947
3648,EUR_USD,S5,False,4,2022-01-06T08:20:30.000000000Z,1.12946,1.12947,1.12946,1.12947
3649,EUR_USD,S5,False,5,2022-01-06T08:20:30.000000000Z,1.12946,1.12948,1.12946,1.12948
3655,EUR_USD,S5,False,6,2022-01-06T08:20:30.000000000Z,1.12946,1.12948,1.12946,1.12947
3667,EUR_USD,S5,False,3,2022-01-06T08:20:35.000000000Z,1.12946,1.12946,1.12943,1.12943
3668,EUR_USD,S5,False,4,2022-01-06T08:20:35.000000000Z,1.12946,1.12946,1.12943,1.12944
3684,EUR_USD,S5,False,1,2022-01-06T08:20:40.000000000Z,1.12942,1.12942,1.12942,1.12942
3685,EUR_USD,S5,False,2,2022-01-06T08:20:40.000000000Z,1.12942,1.12944,1.12942,1.12944
3689,EUR_USD,S5,False,1,2022-01-06T08:20:45.000000000Z,1.12945,1.12945,1.12945,1.12945
