,Unnamed: 0,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close,Gains,Loss,Avg_Gain,Avg_Loss,RSI
158,6832,EUR_USD,S5,True,3,2022-01-07T07:57:45.000000000Z,1.13049,1.1305,1.13049,1.13049,0,2.99999999999745E-05,8.8495946992648E-06,1.0257424591556E-05,46.32
159,6865,EUR_USD,S5,True,5,2022-01-07T07:57:55.000000000Z,1.13049,1.13049,1.13048,1.13049,0,0,7.07967575941184E-06,8.2059396732448E-06,46.32
160,6899,EUR_USD,S5,True,7,2022-01-07T07:58:00.000000000Z,1.13048,1.13048,1.13046,1.13048,0,1.00000000000655E-05,5.66374060752947E-06,8.56475173860894E-06,39.81
161,6968,EUR_USD,S5,True,5,2022-01-07T07:58:20.000000000Z,1.13045,1.13047,1.13045,1.13047,0,2.99999999999745E-05,4.53099248602358E-06,1.28518013908821E-05,26.07
162,6986,EUR_USD,S5,True,6,2022-01-07T07:58:30.000000000Z,1.13049,1.13051,1.13048,1.13051,4.000000000004E-05,0,1.16247939888269E-05,1.02814411127056E-05,53.07
163,7043,EUR_USD,S5,True,6,2022-01-07T07:58:50.000000000Z,1.1305,1.13052,1.1305,1.13052,1.00000000000655E-05,0,1.12998351910746E-05,8.22515289016451E-06,57.87
164,7095,EUR_USD,S5,True,2,2022-01-07T07:59:05.000000000Z,1.1305,1.1305,1.13049,1.13049,0,0,9.03986815285967E-06,6.58012231213161E-06,57.87
165,7111,EUR_USD,S5,True,10,2022-01-07T07:59:10.000000000Z,1.1305,1.13057,1.13048,1.13056,0,0,7.23189452228774E-06,5.26409784970529E-06,57.87
166,7178,EUR_USD,S5,True,1,2022-01-07T07:59:25.000000000Z,1.13053,1.13053,1.13053,1.13053,2.99999999999745E-05,0,1.17855156178251E-05,4.21127827976423E-06,73.67
167,7297,EUR_USD,S5,True,16,2022-01-07T08:00:00.000000000Z,1.13058,1.13058,1.13056,1.13056,4.99999999998835E-05,0,1.94284124942368E-05,3.36902262381138E-06,85.22
168,7350,EUR_USD,S5,True,9,2022-01-07T08:00:15.000000000Z,1.13053,1.13063,1.13053,1.13062,0,4.99999999998835E-05,1.55427299953894E-05,1.26952180990258E-05,55.04
169,7367,EUR_USD,S5,True,9,2022-01-07T08:00:25.000000000Z,1.13064,1.13066,1.13058,1.13058,0.00011,0,3.44341839963224E-05,1.01561744792206E-05,77.22
170,7418,EUR_USD,S5,True,3,2022-01-07T08:00:40.000000000Z,1.13055,1.13056,1.13055,1.13055,0,9.00000000001455E-05,2.75473471970579E-05,2.61249395834056E-05,51.33
171,7438,EUR_USD,S5,True,3,2022-01-07T08:00:45.000000000Z,1.13054,1.13055,1.13054,1.13054,0,9.99999999984347E-06,2.20378777576464E-05,2.28999516666932E-05,49.04
172,7455,EUR_USD,S5,True,14,2022-01-07T08:00:50.000000000Z,1.13052,1.13053,1.13048,1.13053,0,2.0000000000131E-05,1.76303022061171E-05,2.23199613333808E-05,44.13
